face_id,LeftEye_x,LeftEye_y,RightEye_x,RightEye_y,Nose_x,Nose_y,Mouth_x,Mouth_y,file_id,sex
39341,209.0,150.0,302.0,186.0,277.0,268.0,232.0,308.0,image00035.jpg,m
39343,148.0,203.0,234.0,207.0,219.0539093017578,272.3762512207031,203.0,308.0,image00168.jpg,f
39348,143.0,123.0,223.0,173.0,159.98350524902344,209.7561492919922,134.0,257.0,image00102.jpg,f
39349,229.0,196.0,291.0,198.0,274.0,218.0,270.0,254.0,image00104.jpg,f
39352,334.0,229.0,526.0,249.0,486.2009582519531,406.5749816894531,433.41766357421875,518.4249877929688,image00122.jpg,f
39355,333.0,450.0,571.9963989257812,391.2035827636719,472.6529235839844,545.4636840820312,497.9515686035156,688.0,image00144.jpg,m
39357,238.0,161.0,281.0,156.0,296.0,203.0,281.0,233.0,image00180.jpg,f
39360,319.417694091797,105.652191162109,353.521728515625,109.343864440918,328.0,125.0,330.844299316406,145.381637573242,image00188.jpg,m
39362,191.0,242.0,210.0,187.0,242.0,232.0,266.0,246.0,image00204.jpg,f
39368,469.0,134.0,602.0,143.0,641.0,239.0,601.0,330.0,image00278.jpg,f
39369,153.0,105.0,190.0,114.0,177.0,142.0,168.0,158.0,image00280.jpg,f
39370,97.0,239.0,160.0,227.0,156.0,282.0,151.0,309.0,image00289.jpg,m
39371,192.0,164.0,252.0,166.0,210.0,212.0,217.0,234.0,image00289.jpg,f
39372,221.0,83.0,389.0,95.0,312.0,246.0,296.0,293.0,image00296.jpg,m
39373,355.0,208.0,424.0,165.0,446.0,236.0,447.0,287.0,image00306.jpg,f
39374,324.0,600.0,511.0,501.0,418.0,769.0,499.0,836.0,image00311.jpg,f
39375,157.0,175.0,225.0,174.0,216.0,221.0,201.0,254.0,image00315.jpg,f
39379,607.0,160.0,772.0,160.0,739.0,288.0,714.0,353.0,image00347.jpg,f
39381,161.0,144.0,197.0,131.0,202.0,146.0,205.0,174.0,image00374.jpg,f
39385,185.0,82.0,282.0,95.0,250.0,178.0,233.0,219.0,image00404.jpg,f
39389,171.0,124.0,201.0,127.0,191.0,133.0,189.0,150.0,image00224.jpg,f
39390,139.0,136.0,169.0,137.0,159.0,158.0,152.0,171.0,image00408.jpg,f
39391,350.0,221.0,406.0,227.0,409.0,266.0,389.0,292.0,image00424.jpg,m
39393,145.0,123.0,223.0,160.0,204.0,157.0,183.0,202.0,image00131.jpg,f
39397,148.35617065429688,145.17503356933594,163.95547485351562,153.538818359375,156.0,167.0,146.26141357421875,177.0833282470703,image00439.jpg,f
39398,262.0,119.0,291.0,123.0,286.0,141.0,278.0,155.0,image00442.jpg,f
39399,332.0,384.0,302.0,246.0,404.0,294.0,421.0,290.0,image00450.jpg,f
39400,224.0,225.0,282.0,225.0,298.0,272.0,283.0,314.0,image00454.jpg,f
39407,1022.0,1223.0,1311.0,1188.0,1424.0,1649.0,1241.0,1892.0,image00489.jpg,f
39408,148.0,231.0,151.0,196.0,170.0,189.0,199.0,196.0,image00497.jpg,f
39412,129.0,153.0,144.4656982421875,164.20697021484375,142.0,168.0,139.0,179.0,image00519.jpg,f
39414,465.0,337.0,572.0,369.0,561.0,461.0,517.0,508.0,image00530.jpg,f
39417,157.0,166.0,214.0,148.0,210.0,202.0,207.0,226.0,image00551.jpg,f
39419,145.0,80.0,178.0,81.0,171.0,106.0,166.0,121.0,image00591.jpg,f
39425,143.0,125.0,184.0,121.0,163.0,159.0,166.0,176.0,image00612.jpg,m
39426,196.0,167.0,270.0,209.0,257.0,276.0,212.0,311.0,image00614.jpg,f
39427,123.0,133.0,150.0,128.0,150.0,158.0,141.0,175.0,image00622.jpg,m
39428,931.0,941.0,1099.0,951.0,1132.0,1200.0,997.0,1301.0,image00623.jpg,m
39430,772.0,610.0,931.0,636.0,931.0,758.0,878.0,841.0,image00631.jpg,f
39432,199.0,215.0,242.0,210.0,236.0,248.0,232.0,269.0,image00655.jpg,f
39435,147.0,121.0,182.0,121.0,183.0,150.0,172.0,172.0,image00684.jpg,f
39436,177.0,100.0,194.0,84.0,208.0,104.0,206.0,117.0,image00695.jpg,f
39441,218.0,213.0,277.0,222.0,276.0,269.0,251.0,305.0,image00725.jpg,f
39442,154.0,291.0,221.0,200.0,220.0,312.0,274.0,349.0,image00733.jpg,f
39444,1051.0,734.0,1216.0,672.0,1285.0,887.0,1202.0,1007.0,image00735.jpg,m
